Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration
1,8705,4212,6731,10212,4690,6409,40959,0,1,0,0,0,0,1,2627,510,1214,1170,1022,845,1046,162,125,490,290,84,0,0,0,0,1,0,0,1
2,8771,4202,6800,10227,4567,6614,41181,4,0,0,0,1,0,5,2670,589,1249,1236,931,823,1082,175,148,520,298,76,3,2,1,0.001,1,4.1,5,1
3,8637,4224,6754,10141,4786,6506,41048,1,0,0,0,0,0,1,2577,534,1214,1198,1051,892,1007,159,121,466,283,82,1,0,1,0,0,4.1,6,1
4,8683,4228,6936,10432,4544,6458,41281,0,0,0,0,0,0,0,2642,519,1333,1312,958,821,1068,159,145,541,282,88,0,0,1,0,0,4.1,6,1
5,8660,4239,6766,10356,4617,6541,41179,0,0,0,0,0,0,0,2619,550,1235,1281,951,865,1026,163,119,487,306,99,0,0,1,0,0,4.1,6,1
6,8676,4192,6780,10393,4633,6559,41233,0,0,0,0,0,0,0,2562,517,1217,1194,1009,855,987,146,112,478,302,81,0,0,1,0,0,4.1,6,1
7,8754,4193,6880,10279,4645,6506,41257,0,0,0,0,0,0,0,2624,542,1227,1209,969,836,1036,158,121,482,297,82,0,0,1,0,0,4.1,6,1
8,8725,4248,6665,10400,4629,6547,41214,0,0,0,0,0,0,0,2660,549,1219,1209,949,869,1089,168,113,494,282,85,0,0,1,0,0,4.1,6,1
9,8693,4172,6876,10458,4638,6667,41504,0,0,0,0,0,0,0,2591,548,1268,1245,966,899,1014,151,144,474,286,75,0,0,1,0,0,4.1,6,1
10,8665,4236,6927,10535,4732,6662,41757,0,0,0,0,0,0,0,2564,553,1269,1277,969,850,1025,165,130,488,279,85,0,0,1,0,0,4.1,6,1
11,8710,4278,7022,10689,4728,6679,42106,0,0,0,0,0,0,0,2664,564,1301,1308,963,883,1113,180,145,554,288,113,0,0,1,0,0,4.1,6,1
