year,posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest,iteration
1,2775,2399,4424,2329,2804,6433,21164,4992,2212,6176,4923,2006,7624,27933,NA,850,264,1831,628,394,884,4851,1
2,3685,1907,4230,3826,1612,6463,21723,4556,2939,5531,4465,3285,6735,27511,0.985,764,381,1642,523,711,808,4829,1
3,3384,2500,3798,3523,2574,5680,21459,4605,2712,5696,4614,3015,6960,27602,1.003,803,354,1698,618,646,859,4978,1
4,3391,2310,3901,3578,2369,5838,21387,4725,2697,5606,4539,3062,6881,27510,0.997,812,329,1652,579,599,767,4738,1
5,3488,2326,3842,3568,2463,5847,21534,5068,2778,6061,4867,3082,8114,29970,1.089,808,328,1809,616,670,954,5185,1
6,3798,2383,4252,3809,2412,7147,23801,5645,3066,6357,5598,3228,9083,32977,1.1,975,382,1900,694,651,1085,5687,1
7,4144,2632,4425,4388,2577,7923,26089,6148,3327,6717,5964,3749,9488,35393,1.073,1076,441,1988,736,829,1092,6162,1
8,4551,2812,4683,4717,2920,8249,27932,6516,3646,6870,6193,4056,9976,37257,1.053,1096,442,1972,759,855,1163,6287,1
9,4843,3134,4825,4888,3201,8593,29484,6868,3930,7298,6519,4158,10258,39031,1.048,1195,533,2189,822,867,1170,6776,1
10,5084,3314,5025,5094,3291,8798,30606,7021,4057,7631,6734,4399,10359,40201,1.03,1183,519,2293,832,958,1193,6978,1
11,5197,3462,5209,5286,3441,8859,31454,7039,4126,7909,6717,4552,10455,40798,1.015,1202,515,2299,845,1013,1203,7077,1
12,5186,3536,5494,5246,3539,8927,31928,7206,4156,8221,6865,4553,10590,41591,1.019,1253,573,2504,871,939,1231,7371,1
13,5343,3509,5600,5392,3614,9009,32467,7243,4274,8217,6925,4627,10619,41905,1.008,1210,560,2422,860,995,1178,7225,1
14,5429,3634,5656,5419,3632,9040,32810,7323,4369,8414,6884,4618,10635,42243,1.008,1276,581,2517,847,973,1242,7436,1
15,5437,3698,5751,5379,3645,9041,32951,7230,4347,8496,7052,4603,10553,42281,1.001,1203,583,2578,841,1004,1245,7454,1
16,5328,3695,5774,5570,3599,8906,32872,7203,4269,8557,6852,4721,10548,42150,0.997,1204,517,2485,838,921,1233,7198,1
17,5370,3674,5916,5397,3800,8955,33112,7317,4248,8652,7032,4642,10577,42468,1.008,1282,572,2634,851,991,1292,7622,1
18,5367,3588,5868,5548,3651,8877,32899,7240,4311,8567,6825,4752,10507,42202,0.994,1191,570,2561,860,953,1234,7369,1
19,5382,3648,5871,5362,3799,8893,32955,7321,4297,8613,6996,4624,10739,42590,1.009,1289,538,2502,885,1016,1294,7524,1
20,5375,3673,5944,5461,3608,9040,33101,7246,4331,8676,6946,4697,10623,42519,0.998,1287,558,2650,848,1056,1277,7676,1
21,5280,3702,5882,5480,3641,8959,32944,7300,4202,8762,6780,4728,10552,42324,0.995,1226,600,2665,852,994,1164,7501,1
22,5427,3538,5976,5313,3734,9014,33002,7254,4342,8697,7078,4530,10700,42601,1.007,1234,554,2564,837,987,1230,7406,1
23,5387,3712,5999,5570,3543,9086,33297,7228,4288,8813,6961,4772,10604,42666,1.002,1180,552,2644,817,992,1271,7456,1
24,5424,3665,6026,5494,3780,8968,33357,7262,4362,8760,6867,4718,10648,42617,0.999,1287,577,2571,842,996,1253,7526,1
25,5321,3698,6053,5403,3722,9023,33220,7222,4273,8833,6957,4670,10656,42611,1,1244,568,2605,834,1010,1264,7525,1
26,5346,3634,6071,5464,3660,9001,33176,7300,4241,8764,6825,4676,10541,42347,0.994,1277,573,2522,842,966,1218,7398,1
1,2822,2455,4456,2329,2853,6457,21372,5175,2264,6276,4939,2031,7771,28456,NA,903,285,1889,627,445,939,5088,2
2,3834,1919,4272,3880,1586,6516,22007,4607,3029,5586,4530,3303,6710,27765,0.976,755,384,1654,587,697,770,4847,2
3,3460,2588,3840,3521,2606,5683,21698,4768,2773,5815,4577,3026,6896,27855,1.003,845,371,1757,555,632,827,4987,2
4,3510,2355,3964,3624,2394,5812,21659,4681,2810,5709,4515,3068,6832,27615,0.991,799,357,1716,566,640,781,4859,2
5,3453,2406,3897,3542,2428,5796,21522,5128,2750,6177,4748,3042,7961,29806,1.079,863,341,1863,599,637,991,5294,2
6,3825,2359,4314,3731,2405,6946,23580,5592,3046,6453,5343,3220,8655,32309,1.084,956,376,1918,665,661,1008,5584,2
7,4116,2613,4508,4148,2559,7515,25459,5854,3301,6709,5680,3571,9079,34194,1.058,993,417,2009,720,741,1068,5948,2
8,4326,2829,4622,4420,2830,7812,26839,6224,3440,6808,5974,3763,9426,35635,1.042,1032,417,1968,746,756,1092,6011,2
9,4677,2948,4759,4680,3007,8095,28166,6579,3740,7147,6126,3990,9816,37398,1.049,1120,472,2175,744,821,1197,6529,2
10,4869,3177,4897,4797,3169,8366,29275,6759,3824,7360,6437,4163,10015,38558,1.031,1115,490,2155,763,818,1179,6520,2
11,5012,3256,5088,5115,3345,8528,30344,6944,4022,7614,6460,4364,10104,39508,1.025,1173,532,2244,759,874,1172,6754,2
12,5147,3407,5259,5142,3490,8577,31022,7036,4132,7935,6473,4420,10225,40221,1.018,1227,533,2339,761,886,1217,6963,2
13,5175,3531,5483,5082,3534,8659,31464,6982,4188,8186,6761,4316,10206,40639,1.01,1187,539,2441,843,937,1216,7163,2
14,5200,3580,5604,5230,3379,8638,31631,6934,4146,8357,6525,4509,10097,40568,0.998,1164,492,2500,820,910,1187,7073,2
15,5125,3582,5701,5141,3599,8529,31677,6961,4111,8453,6689,4396,10205,40815,1.006,1217,521,2555,837,976,1246,7352,2
